Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,12306.71768,13495.7943,14045.47457,14938.68157,16239.98785,16439.35636,16583.87586,17927.95944,19077.68743,19355.33354,20617.75047,20670.36701,20436.88713,20833.97636,22568.37499,23300.73836,24046.22638,25834.11178,27083.63486,24631.18205,23513.5277,24985.01392,24712.49326,26441.61994,26893.01151,28396.90842,28452.17061,29350.80502,30253.27936,30971.56467
Africa Eastern and Southern,AFE,696.9881454,704.4270885,683.3361345,706.4880387,702.4159658,771.4100971,747.8415501,765.9674854,703.0913562,675.8042634,713.2459211,633.608789,631.8703396,819.7439815,993.7627111,1129.80871,1237.111802,1382.869039,1442.168158,1412.111284,1634.448253,1770.73623,1736.16656,1713.899299,1703.596298,1549.03794,1431.778723,1573.063386,1574.978648,1530.059177
Afghanistan,AFG,107.6053542,107.6053542,107.6053542,107.6053542,107.6053542,107.6053542,107.6053542,80.63554392,107.6053542,134.5751644,161.5449746,188.5147848,179.4265792,190.6838143,211.3820742,242.0313132,263.7336019,359.6931579,364.663542,437.2687402,543.3065262,591.1900302,638.8458516,624.3154545,614.2233424,556.0072209,512.0127781,516.6798622,485.6684187,494.1793499
Africa Western and Central,AFW,594.7260092,558.4356809,547.6630929,445.6562062,378.9404929,462.8648086,523.7635266,515.2345812,513.6425507,528.5773937,525.4503429,539.3357244,627.7739445,706.955063,854.5068364,1016.475978,1252.595147,1430.7964,1707.272264,1486.572654,1687.551979,1862.308267,1965.118485,2157.481149,2212.853135,1894.310195,1673.835527,1613.473553,1704.139603,1777.918672
Angola,AGO,297.2385515,306.4705921,288.0065109,324.9346733,251.0783484,398.7909982,522.6796243,514.3851744,423.619049,387.7851241,556.8386317,527.3335285,872.4944418,982.9610078,1255.564513,1902.42215,2599.565948,3121.996085,4080.941034,3122.781599,3587.883645,4615.468219,5100.097027,5254.881126,5408.4117,4166.979833,3506.073128,4095.810057,3289.643995,2809.626088
Albania,ALB,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492,1009.977275,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.786584,2972.742924,3595.038057,4370.539925,4114.134899,4094.348386,4437.142612,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694,5395.659532
Andorra,AND,18878.85231,19534.26363,20549.80558,16515.6584,16235.06804,18458.17399,19016.28819,18355.62786,18895.11066,19262.30899,21854.2468,22970.51221,25067.24006,32272.84589,37966.18725,40064.22493,42674.75897,47804.84993,48719.65877,43504.21565,40850.24814,43334.81141,38686.46126,39540.72481,41303.92937,35770.7767,37475.63506,38964.90448,41791.96984,40897.33087
Arab World,ARB,2796.699977,1918.346328,2033.963932,2017.938575,2068.778441,2196.978885,2371.452601,2501.050758,2381.994879,2579.122064,2890.227674,2768.502103,2725.609752,2948.632623,3430.98291,4120.842157,4754.768854,5418.134763,6661.484068,5695.887676,6512.541558,6888.979416,7378.23189,7373.201678,7300.030219,6220.716636,5969.616593,5987.341957,6504.148493,6489.043216
United Arab Emirates,ARE,27729.39059,26612.25311,26420.85988,25596.73939,25848.01625,27221.93441,28975.07996,29512.67479,26899.60177,28470.88586,33291.36625,31280.75586,31567.54631,33499.10278,36333.18733,39365.45964,41907.42147,41809.46216,44498.94051,32024.19778,33893.26387,39194.67224,40976.49075,42412.6395,43751.80565,38663.4005,38141.86713,40644.79119,43839.32449,42701.44305
Argentina,ARG,4333.483372,5735.359981,6823.538837,6969.119729,7483.140334,7408.708664,7721.354105,8213.125127,8289.507568,7774.736203,7708.099115,7208.373114,2593.404563,3349.8063,4277.721573,5109.852245,5919.012338,7245.446857,9020.873323,8225.137583,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11795.15939,10056.63794
